"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Google Plus Page","googleplus_page","string","The URL of the Google Plus page for the company or organization","#properties_to_archive","true","","false","true","false","false","false","true","HubSpot","Properties v3 card (1)","0%","",""
"Revenue range","hs_revenue_range","string","Numeric estimate of the company’s annual revenue by range.","#properties_to_archive","false","","false","false","false","false","false","true","HubSpot","Inbounddb lists (3); Automation platform flow (1); Report (2); Sales view (2); Properties v3 card (1)","34.91%","1/29/26 4:04 PM CST","Data Enrichment"
"Radio Program Name","radio_program_name","string","","#properties_to_archive","true","","false","false","false","false","false","false","Declan Watts","Report (2); Dependent conditional field (1); Properties v3 card (1)","1.14%","1/29/26 9:32 AM CST","Record Merge"
"RSS feed link for podast","rss_feed_link_for_podast","string","","#properties_to_archive","true","","false","false","false","false","false","false","Andrea Laurent","Properties list card (2); Properties v3 card (1)","0.67%","1/26/26 1:24 PM CST","Record Merge"
"TikTok Page Link","tiktok_page_link","string","","#properties_to_archive","true","","false","false","false","false","false","false","Andrea Laurent","Properties list card (2); Properties v3 card (2)","1.08%","1/27/26 11:32 AM CST","Record Merge"
"Twitter Bio","twitterbio","string","The Twitter bio of the company or organization","#properties_to_archive","true","","false","true","false","false","false","true","HubSpot","Properties v3 card (1)","1.45%","1/29/26 9:32 AM CST","Record Merge"
"Twitter Followers","twitterfollowers","number","The number of Twitter followers of the company or organization","#properties_to_archive","true","","false","true","false","false","false","true","HubSpot","Properties list card (1); Properties v3 card (2)","0%","",""
"Twitter Handle","twitterhandle","string","The main twitter account of the company or organization","#properties_to_archive","true","","false","true","false","false","false","true","HubSpot","Properties list card (1); Properties v3 card (3)","51.11%","1/29/26 4:04 PM CST","Data Enrichment"
"Conference Name","conference_name","enumeration","","2_-_source_and_attribution","true","A.R Bernard Golf Tournament; BCI; C3; Christian Mental Health Summit; Christian Music Broadcasters; Dunham; Exponential; FCCI; For Others Event; Golf Event 1 (TPC Sawgrass) (Golf Event (Atlanta, GA)); Golf Event 2 (Augusta, GA) (Golf Event (Dallas, TX)); Ignite; Indy Race; North Coast Leadership Conference; NRB 2023; NRB 2024; NRB 2025; Pray.com Pastor Retreat 1 (April 24) (Pray.com Pastor Retreat 1); Pray.com Pastor Retreat 2 (July 24) (Pray.com Pastor Retreat 2); Pray.com Pastor Retreat 3 (Aug 24) (Pray.com Pastor Retreat 3); Pray.com Pastor Retreat 4 (Oct 24) (Pray.com Pastor Retreat 4); RightNow Media Conference; RNA Writers Conference; SBC; Spire; Vatican/Human Flourishing","false","false","false","false","false","false","Andrea Laurent","Properties v3 card (1)","0.01%","6/18/25 5:06 PM CDT","Mobile iOS"
"Conference Relevance","conference_relevance","enumeration","Conferences that are relevant to this company. ","2_-_source_and_attribution","true","NRB; Dunham; C3; Exponential; SBC; Pray Retreats; Spire; Ignite; Other; NOT NRB","false","false","false","false","false","false","Kyle Kuehn","Automation platform flow (1); Report (24); Properties v3 card (1)","1.16%","1/29/26 12:12 PM CST","Workflow"
