"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Ads Podcast Source","ads_podcast_source","string","","ads&other_information","true","","false","false","false","false","false","false","Andrea Laurent","Automation platform flow (1)","0.03%","9/3/25 1:26 PM CDT","CRM UI"
"Advertising formats","advertising_formats","enumeration","","ads&other_information","true","Email; Podcast; CTV; Social Media","false","false","false","false","false","false","Nay Luchetti","Form (2)","0%","12/31/25 4:20 PM CST","Record Merge"
"Monthly advertising budget","monthly_advertising_budget","number","","ads&other_information","true","","false","false","false","false","false","false","Nay Luchetti","Form (2)","0%","12/31/25 4:20 PM CST","Record Merge"
"Source Notes","source_detail","string","","ads&other_information","true","","false","false","false","false","false","false","Andrea Laurent","Automation platform flow (1); Sales view (1); Properties v3 card (1)","0.1%","12/31/25 4:20 PM CST","Record Merge"
"Average Pageviews","hs_analytics_average_page_views","number","The average number of pages a contact sees. This is automatically set by HubSpot for each contact.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Sales view (16)","100%","1/29/26 11:52 AM CST","Analytics"
"First Referring Site","hs_analytics_first_referrer","string","The first website that referred a contact to your website. This is automatically set by HubSpot for each contact.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Dataset (3); Sales view (46); Properties v3 card (1)","2.37%","1/28/26 12:32 PM CST","Analytics"
"Time First Seen","hs_analytics_first_timestamp","datetime","The first time a contact has been seen. This is automatically set by HubSpot for each contact.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Rollup property (4); Inbounddb lists (3); Sales view (16)","100%","1/29/26 11:52 AM CST","Analytics"
"First Touch Converting Campaign","hs_analytics_first_touch_converting_campaign","string","The campaign responsible for the first touch creation of this contact","analyticsinformation","false","","true","true","false","true","false","true","HubSpot","Rollup property (1); Report (1); Sales view (45)","0.42%","1/28/26 12:32 PM CST","Analytics"
"First Page Seen","hs_analytics_first_url","string","The first page a contact saw on your website. This is automatically set by HubSpot for each contact.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Inbounddb lists (1); Dataset (3); Sales view (48); Properties v3 card (2)","5.74%","1/28/26 11:47 PM CST","Analytics"
"Time of First Session","hs_analytics_first_visit_timestamp","datetime","The first time a contact visited your website. This is automatically set by HubSpot for each contact.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Rollup property (1); Sales view (48)","5.74%","1/28/26 11:47 PM CST","Analytics"
"Event Revenue","hs_analytics_revenue","number","Event revenue can be set on a contact though HubSpot's enterprise Events. http://help.hubspot.com/articles/KCS_Article/Reports/How-do-I-create-Events-in-HubSpot","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Sales view (8)","100%","1/29/26 11:52 AM CST","Analytics"
"Associated company record ID","associated_company_record_id","number","","company_properties","false","","true","false","true","false","false","false","Nay Luchetti","Inbounddb lists (2)","92.71%","1/29/26 11:40 AM CST","HubSpot Calculation"
"Associated Lead Record ID","associated_lead_record_id","number","","company_properties","false","","true","false","true","false","false","false","Nay Luchetti","Automation platform flow (1)","4.73%","1/29/26 11:41 AM CST","HubSpot Calculation"
"Leader Name (sync from leader)","associated_leader_name","string","","company_properties","false","","true","false","true","false","false","false","Nay Luchetti","Automation platform flow (2); Sales view (1)","1.65%","1/29/26 2:37 PM CST","HubSpot Calculation"
"Associated Domain Validation","associated_valid_website_domain","enumeration","Does the associated company own a valid domain?","company_properties","false","Valid Domain; No domain; Wrong Input","true","false","true","false","false","false","Nay Luchetti","Dataset (3); Sales view (2); Properties v3 card (2)","34.41%","1/29/26 11:40 AM CST","HubSpot Calculation"
"Company Name","company","string","The name of the contact's company. This is separate from the Name property of the contact's associated company and can be set independently.","company_properties","true","","false","true","false","false","false","true","HubSpot","Form (16); Automation platform flow (6); Email (1); Report (9); Integration (1); Sales view (51); Properties list card (1); Properties v3 card (4)","91%","1/29/26 11:41 AM CST","Workflow"
"Company decision maker","company_decision_maker","string","","company_properties","false","","true","false","true","false","false","false","Nay Luchetti","Dataset (3); Sales view (1)","0.22%","1/28/26 11:14 AM CST","HubSpot Calculation"
"Company Marketing Budget","company_marketing_budget","number","","company_properties","false","","true","false","true","false","false","false","Nay Luchetti","Dataset (3); Sales view (1)","0.01%","10/7/25 5:54 PM CDT","HubSpot Calculation"
"Company Segment (From Associated Company)","company_segment","enumeration","Copies the automatic segmentation from company to contact - created only to trigger workflows.","company_properties","false","#1 Whale - Over $5 million (Whale); #2 Elephant - $3 million – $5 million (Elephant); #3 Deer - $1 million – $3 million (Deer); #4 Rabbit - $1 million – $500 thousand (Rabbit); #5 Mouse - Under $500 thousand (Mouse); unknown","true","false","true","false","false","false","Nay Luchetti","Report (1); Dataset (4); Sales view (53); Properties list card (1); Properties v3 card (3)","71.5%","1/29/26 11:40 AM CST","HubSpot Calculation"
"Company Type (from associated company)","company_type__from_associated_company_","enumeration","","company_properties","false","Church (Mega Church); Parachurch organization; Media Ministry; Podcast (Podcaster); Nonprofit; Agency; Competitor [HIDDEN]; Media Channel; Broadcasting platform; Social Network; Ads Agency [HIDDEN]; Other","true","false","true","false","false","false","Nay Luchetti","Properties list card (1); Properties v3 card (3)","48.41%","1/29/26 11:40 AM CST","HubSpot Calculation"
"Contact Type","contact_type","enumeration","","company_properties","true","Leader; Investor; Partner; Vendor; Supporter; Organization; Press; Evangelist","false","false","false","false","false","false","Michael Lynn","Sales view (4)","6.43%","12/31/25 4:20 PM CST","Record Merge"
