"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Associated contact email","associated_contact_email","string","","lead_information","false","","true","false","true","false","false","false","Nay Luchetti","Sales view (10); Pipeline object tag (1); Properties v3 card (1)","83.35%","",""
"Associated contact phone number","associated_contact_phone_number","string","","lead_information","false","","true","false","true","false","false","false","Nay Luchetti","Properties v3 card (1)","44.26%","",""
"Associated contact recent conversion","associated_contact_recent_conversion","string","","lead_information","false","","true","false","true","false","false","false","Nay Luchetti","Properties v3 card (1)","40.98%","",""
"Company Domain Sync","company_domain","string","","lead_information","false","","true","false","true","false","false","false","Nay Luchetti","Automation platform flow (1); Properties v3 card (1)","94.39%","",""
"Company Domain","company_domain__","string","","lead_information","true","","false","false","false","false","false","false","Nay Luchetti","Automation platform flow (1)","94.39%","",""
"Brands","hs_all_assigned_business_unit_ids","enumeration","The brands this record is assigned to.","lead_information","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Company","hs_associated_company_name","string","Name of the associated company if present.","lead_information","false","","true","false","false","false","false","true","HubSpot","Report (5); Sales view (17); Properties v3 card (1)","94.22%","",""
"Is Target Account","hs_company_is_target_account","string","Associated company's status about being marketed or sold to.","lead_information","false","","true","true","true","false","false","true","HubSpot","","23.12%","",""
"Company Last Engagement Date","hs_company_last_engagement_timestamp","datetime","The last time a contact engaged with your site or a form, document, meetings link, or tracked email. This doesn't include marketing emails or emails to multiple contacts.","lead_information","false","","true","true","true","false","false","true","HubSpot","","61.52%","",""
"Company Last Engagement Type","hs_company_last_engagement_type","enumeration","The type of the last engagement a company performed. This doesn't include marketing emails or emails to multiple contacts.","lead_information","false","Company Website Visit (COMPANYPROSPECTS_REVISIT); Document View (PRESENTATION_REVISIT); Email Click (EMAIL_CLICK); Email Open (EMAIL_OPEN); Email Reply (EMAIL_REPLY); Form Submitted (FORM_SUBMITTED); Meeting Booked (MEETING_BOOKED); Website Visit (HUBSPOT_REVISIT)","true","true","true","false","false","true","HubSpot","","60.05%","",""
"Company Time of Last Session","hs_company_last_webpage_visit_timestamp","datetime","Time of the last session attributed to any contacts that are associated with this lead's primary company","lead_information","false","","true","true","true","false","false","true","HubSpot","","45.56%","",""
"Company Next Activity Date","hs_company_next_activity_date","datetime","The date of the next activity, rolled up from the primary associated company.","lead_information","false","","true","true","false","false","false","true","HubSpot","","2.07%","",""
