"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"ARR Change","arr_change","number","ARR - Previous ARR","arr_changing_","false","","false","true","false","false","false","false","Nay Luchetti","Dataset (1)","2.9%","",""
"Previous ARR","previous_arr","number","The ARR from the related previous deal (set to 0 for New Business deals or populated via workflow for Expansion, Renewal, Downgrade, or Cancellation deals).","arr_changing_","true","","false","true","false","false","false","false","Andrea Laurent","Rollup property (1); Dataset (2)","35.89%","",""
"Previous Line Item ID","previous_line_item_id","string","Links the current line item to the most recent prior line from which it was sourced. These initially would be blank if net new, win-back, cross-sell.
Data Source: Workflow","arr_changing_","true","","false","true","false","false","false","false","Nay Luchetti","Dataset (1)","0%","",""
"Root Line Item ID","root_line_item_id","string","Identifies the original line item where the ARR first originated, regardless of how many renewals or changes have occurred since. These initially would be blank if net new, win-back, cross-sell.
Data Source: Workflow","arr_changing_","true","","false","true","false","false","false","false","Nay Luchetti","Dataset (1)","0%","",""
"Billing Start Date","billing_start_date","date","The date when billing begins for the deal.","dates","true","","false","true","false","false","false","false","Nay Luchetti","Dataset (2)","2.44%","",""
"Service End Date","service_end_date","date","When the service ends for the deal or line item (product).
Data Source: Workflow - Calculated as Service Start Date + Term + Billing frequency.","dates","true","","false","true","false","false","false","false","Andrea Laurent","Inbounddb lists (1); Automation platform flow (1); Report (2); Dataset (6)","65.97%","",""
"Service Start Date","service_start_date","date","When the service starts for the deal or line item (product).  ","dates","true","","false","true","false","false","false","false","Andrea Laurent","Automation platform flow (1); Report (3); Dataset (5)","69.11%","",""
"Associated Leader","associated_leader","string","","lineiteminformation","false","","true","false","true","false","false","false","Nay Luchetti","Dataset (1)","27.76%","",""
"Create date","createdate","datetime","The date the line item was created","lineiteminformation","false","","false","true","false","false","false","true","HubSpot","Rollup property (4); Dataset (2)","100%","",""
"Deal Type","deal_type","enumeration","","lineiteminformation","false","Net New (newbusiness); Renewal (existingbusiness); Upsell; Downgrade; Cross-sell; Partial Churn; Cancellation; Non-Contracted Services; Win-back; Leads [HIDDEN]; Consolidated (Leader Tracker) [HIDDEN]; Expansion (expansionbusiness) [HIDDEN]; Ads; PLG","true","false","true","false","false","false","Nay Luchetti","","65.74%","",""
"Description","description","string","Full description of product","lineiteminformation","false","","false","true","false","false","false","true","HubSpot","Dataset (1)","59.23%","",""
"Allow buyer selected quantity","hs_allow_buyer_selected_quantity","enumeration","Whether buyer selected quantity is to be enabled or not for a LineItem","lineiteminformation","false","Yes (true); No (false)","true","true","false","false","false","true","HubSpot","","0%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","lineiteminformation","false","","true","true","false","true","false","true","HubSpot","","93.26%","",""
