"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Communication Type Classification","hs_classification_communication_type","enumeration","The AI Classification of the communication type","marketing_email_ai_classifications","false","Newsletter (newsletter); Promotional Offer (promotional_offer); Product or Feature Announcement (product_feature_announcement); Educational (educational); Event Invitation or Reminder (event_invitation_reminder); Account Management (account_management); Initial Engagement (initial_engagement); Feedback (feedback); Other (other)","true","true","false","false","false","true","HubSpot","","24.53%","",""
"Personalisation Level Classification","hs_classification_personalisation_level","enumeration","The AI Classification of the level of personalisation","marketing_email_ai_classifications","false","Generic (generic); Segment targeted (segment_targeted); Industry/role specific (industry_role_specific); Individually personalised (individually_personalised); undetermined","true","true","false","false","false","true","HubSpot","","24.53%","",""
"Subject line and Preview Text Classification","hs_classification_subject_line_preview_text","enumeration","The AI Classification of the subject line and preview text of the email","marketing_email_ai_classifications","false","Question Format (question_format); Direct Statement (direct_statement); Teaser/Curiosity (teaser_curiosity); Benefit Focused (benefit_focused); Urgent/Time-sensitive (urgent_time_sensitive); Personalized (personalized); Promotional (promotional); News/Announcement (news_announcement); Other (other)","true","true","false","false","false","true","HubSpot","Dataset (1)","24.53%","",""
"Bounce rate","hs_bounce_rate","number","The percentage of emails that didn't get delivered. ","marketing_email_statistics","false","","true","true","false","false","false","true","HubSpot","Dataset (1); Sales view (1)","59.12%","",""
"Bounces","hs_bounces","number","The number of emails that didn't get delivered.","marketing_email_statistics","false","","true","true","false","false","false","true","HubSpot","Dataset (1); Sales view (1)","59.12%","",""
"Click rate","hs_click_rate","number","The percentage of recipients who clicked a CTA, out of those who received your email.","marketing_email_statistics","false","","true","true","false","false","false","true","HubSpot","Dataset (1); Sales view (10)","59.12%","",""
"Clicks","hs_clicks","number","The number of recipients who clicked a CTA.","marketing_email_statistics","false","","true","true","false","false","false","true","HubSpot","Dataset (1); Sales view (7)","59.12%","",""
"Click-through rate","hs_clickthrough_rate","number","The percentage of recipients who clicked a CTA, out of those who opened your email.","marketing_email_statistics","false","","true","true","false","false","false","true","HubSpot","Dataset (1); Sales view (6)","59.12%","",""
"Delivered","hs_delivered","number","The number of emails that got delivered.","marketing_email_statistics","false","","true","true","false","false","false","true","HubSpot","Dataset (1); Sales view (11)","59.12%","",""
"Delivery rate","hs_delivered_rate","number","The percentage of emails that got delivered.","marketing_email_statistics","false","","true","true","false","false","false","true","HubSpot","Dataset (1); Sales view (6)","59.12%","",""
"Hard bounces","hs_hard_bounces","number","The number of emails that couldn’t be delivered for permanent reasons.","marketing_email_statistics","false","","true","true","false","false","false","true","HubSpot","Dataset (1)","59.12%","",""
"Hard bounce rate","hs_hard_bounces_rate","number","The percentage of emails that couldn’t be delivered for permanent reasons.","marketing_email_statistics","false","","true","true","false","false","false","true","HubSpot","Dataset (1)","59.12%","",""
"Not sent","hs_not_sent","number","The number of recipients that didn't get sent the email. This is to protect your sending reputation.","marketing_email_statistics","false","","true","true","false","false","false","true","HubSpot","","59.12%","",""
"Open rate","hs_open_rate","number","The percentage of recipients who opened the email.","marketing_email_statistics","false","","true","true","false","false","false","true","HubSpot","Dataset (1); Sales view (11)","59.12%","",""
"Opens","hs_opens","number","The number of recipients who opened the email.","marketing_email_statistics","false","","true","true","false","false","false","true","HubSpot","Dataset (1); Sales view (6)","59.12%","",""
"Replies","hs_replies","number","The number of replies the email received.","marketing_email_statistics","false","","true","true","false","false","false","true","HubSpot","Dataset (1); Sales view (3)","59.12%","",""
"Reply rate","hs_reply_rate","number","The percentage of recipients who replied to the email.","marketing_email_statistics","false","","true","true","false","false","false","true","HubSpot","Dataset (1); Sales view (1)","59.12%","",""
"Sent","hs_sent","number","The number of emails sent.","marketing_email_statistics","false","","true","true","false","false","false","true","HubSpot","Dataset (1); Sales view (7)","59.12%","",""
"Soft bounces","hs_soft_bounces","number","The number of emails that couldn’t be delivered for temporary reasons.","marketing_email_statistics","false","","true","true","false","false","false","true","HubSpot","","59.12%","",""
"Soft bounce rate","hs_soft_bounces_rate","number","The percentage of emails that couldn’t be delivered for temporary reasons.","marketing_email_statistics","false","","true","true","false","false","false","true","HubSpot","","59.12%","",""
"Spam reports","hs_spam_reports","number","The number of recipients that reported your emails as spam.","marketing_email_statistics","false","","true","true","false","false","false","true","HubSpot","Dataset (1)","59.12%","",""
"Spam report rate","hs_spam_reports_rate","number","The percentage of recipients that reported your emails as spam.","marketing_email_statistics","false","","true","true","false","false","false","true","HubSpot","Dataset (1)","59.12%","",""
"Unsubscribe rate","hs_unsubscribe_rate","number","The percentage of recipients who clicked 'unsubscribe'.","marketing_email_statistics","false","","true","true","false","false","false","true","HubSpot","Dataset (1)","59.12%","",""
"Unsubscribes","hs_unsubscribed","number","The number of recipients who clicked 'unsubscribe'.","marketing_email_statistics","false","","true","true","false","false","false","true","HubSpot","Dataset (1)","59.12%","",""
"ABM flight","abm_flight","enumeration","","marketingemailinformation","true","Superfunnel; Church Pastors","false","false","false","false","false","false","Nay Luchetti","Object requirement (1); Dataset (1); Sales view (1)","5.66%","",""
"Event","event","enumeration","","marketingemailinformation","true","2026 Agency Black Ops Summit; 2026 NRB","false","false","false","false","false","false","Nay Luchetti","Object requirement (1); Sales view (1)","11.95%","",""
"Approval request status","hs_approval_publish_status","string","This shows if email approval is approved, pending, cancelled, or not requested","marketingemailinformation","false","","true","false","false","false","false","true","HubSpot","","98.74%","",""
"Archived","hs_archived","enumeration","This shows if the email has been archived.","marketingemailinformation","false","Yes (true); No (false)","true","true","false","false","false","true","HubSpot","Sales view (11)","100%","",""
"Author email","hs_author_email","string","The user who published the email. For unpublished emails, it shows the user who created the email.","marketingemailinformation","false","","true","true","false","false","false","true","HubSpot","","86.79%","",""
"Author name","hs_author_name","string","The user who published the email. For unpublished emails, it shows the user who created the email.","marketingemailinformation","false","","true","true","false","false","false","true","HubSpot","","96.23%","",""
"Campaign name","hs_campaign_name","string","The campaign name","marketingemailinformation","false","","true","true","false","false","false","true","HubSpot","Dataset (1)","42.77%","",""
"Created date","hs_created_at","datetime","The date and time at which the email was created.","marketingemailinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","marketingemailinformation","false","","true","true","false","true","false","true","HubSpot","Sales view (5)","100%","",""
