"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Call and meeting type","hs_activity_type","enumeration","The activity type of the engagement","engagement","false","Sales - Cold Call; Sales - Discovery; Sales - Demo; Sales - Follow Up; Sales - Negotiation; Sales - Other; LS - Executive Onboarding; LS - Technical Onboarding 1; LS - Studio Tour; LS - Goal Setting; LS - Performance Reviews; LS - Check-in; LS - Support; LS - F2F; Sales - In-Person; MP - Speaking Engagement","false","true","false","false","false","true","HubSpot","Automation platform flow (3); Report (13); Sales view (5)","50.47%","",""
"Attached file IDs","hs_attachment_ids","enumeration","The IDs of the files that are attached to the engagement","engagement","false","","false","true","false","true","false","true","HubSpot","","0.01%","",""
"Activity created by","hs_created_by","number","The user who created the engagement","engagement","false","","true","true","false","true","false","true","HubSpot","Report (1)","96.95%","",""
"Create date","hs_createdate","datetime","The date that an engagement was created","engagement","false","","true","true","false","false","false","true","HubSpot","Rollup property (3); Inbounddb lists (1); Automation platform flow (5); Report (21); Dataset (3); Sales view (5)","100%","",""
"Last modified date","hs_lastmodifieddate","datetime","The date any property on this engagement was modified","engagement","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Activity date","hs_timestamp","datetime","The date that an engagement occurred","engagement","false","","false","true","false","false","false","true","HubSpot","Rollup property (5); Report (7); Sales view (3); Dashboard (1)","100%","",""
"Activity assigned to","hubspot_owner_id","enumeration","The user that the activity is assigned to in HubSpot. This can be any HubSpot user or Salesforce integration user, and can be set manually or via Workflows.","engagement","false","","false","true","false","true","false","true","HubSpot","Inbounddb lists (1); Automation platform flow (1); Report (41); Sales view (8); Dashboard (1)","100%","",""
"HubSpot Team","hubspot_team_id","enumeration","The team of the owner of an engagement.","engagement","false","","true","true","false","true","false","true","HubSpot","Report (11)","78.66%","",""
"Talking points","talking_points","enumeration","","engagement","true","America Prays 250; NRB 2026; PRAY Science (Pray Science)","false","false","false","false","false","false","Nay Luchetti","Report (4); Sales view (3)","1.37%","",""
"Associated company open deal amount","associated_company_open_deal_amount","number","","meeting","false","","true","false","true","false","false","false","Nay Luchetti","Sales view (1)","12.9%","",""
"Associated contact first conversion","associated_contact_first_conversion","string","","meeting","false","","true","false","true","false","false","false","Nay Luchetti","Sales view (1)","34.96%","",""
"Associated contact source drill down","associated_contact_source_drill_down","string","","meeting","false","","true","false","true","false","false","false","Nay Luchetti","","81.25%","",""
"HubSpot attendee owner IDs","hs_attendee_owner_ids","enumeration","Stores the owner ids of any attendees who are users in the portal","meeting","false","","false","true","false","true","false","true","HubSpot","Inbounddb lists (4); Automation platform flow (1); Report (1)","16.58%","",""
"Contact first outreach date","hs_contact_first_outreach_date","datetime","The first outreach date of the associated contact","meeting","false","","true","true","false","false","false","true","HubSpot","Sales view (1)","91.58%","",""
"Internal Meeting Notes","hs_internal_meeting_notes","string","The internal notes from the meeting","meeting","false","","false","true","false","false","false","true","HubSpot","Automation platform flow (4); Report (3); Sales view (5)","39.2%","",""
"Meeting description","hs_meeting_body","string","The text description of the meeting","meeting","false","","false","true","false","false","false","true","HubSpot","Automation platform flow (3); Report (2); Sales view (8)","75.84%","",""
