"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"ARR Change","arr_change","number","ARR - Previous ARR","arr_changing_","false","","false","false","false","false","false","false","Nay Luchetti","Sales view (1)","0%","",""
"Previous ARR","previous_arr","number","The ARR from the related previous deal (set to 0 for New Business deals or populated via workflow for Expansion, Renewal, Downgrade, or Cancellation deals).","arr_changing_","true","","false","false","false","false","false","false","Andrea Laurent","Sales view (1)","0%","",""
"Previous Line Item ID","previous_line_item_id","string","Links the current line item to the most recent prior line from which it was sourced. These initially would be blank if net new, win-back, cross-sell.
Data Source: Workflow","arr_changing_","true","","false","false","false","false","false","false","Nay Luchetti","Sales view (1)","0%","",""
"Root Line Item ID","root_line_item_id","string","Identifies the original line item where the ARR first originated, regardless of how many renewals or changes have occurred since. These initially would be blank if net new, win-back, cross-sell.
Data Source: Workflow","arr_changing_","true","","false","false","false","false","false","false","Nay Luchetti","Sales view (1)","0%","",""
"Billing Start Date","billing_start_date","date","The date when billing begins for the deal.","dates","true","","false","false","false","false","false","false","Nay Luchetti","Sales view (1)","0%","",""
"Service End Date","service_end_date","date","When the service ends for the deal or line item (product).
Data Source: Workflow - Calculated as Service Start Date + Term + Billing frequency.","dates","true","","false","false","false","false","false","false","Andrea Laurent","Sales view (1)","0%","",""
"Service Start Date","service_start_date","date","When the service starts for the deal or line item (product).  ","dates","true","","false","false","false","false","false","false","Andrea Laurent","Sales view (1)","0%","",""
"Unit cost","hs_cost_of_goods_sold","number","The amount that sold goods cost the HubSpot customer","price","false","","false","true","false","false","false","true","HubSpot","Properties v3 card (1)","0%","",""
"Pricing model","hs_pricing_model","enumeration","Defines the pricing model as either 'flat' or one of three tiered options","price","false","Flat (flat); Volume-based (volume); Stair-step (stairstep); Graduated (graduated)","false","true","false","false","false","true","HubSpot","","100%","",""
"Unit price","price","number","Cost of product","price","false","","false","true","false","false","false","true","HubSpot","Sales view (2); Properties v3 card (1)","100%","",""
"Create Date","createdate","datetime","The date the product was created","product_activity","false","","false","true","false","false","false","true","HubSpot","Rollup property (1); Sales view (2)","100%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","product_activity","false","","true","true","false","true","false","true","HubSpot","","100%","",""
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","product_activity","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Image Url","hs_images","string","Product images.","product_activity","false","","false","true","false","false","false","true","HubSpot","Properties v3 card (1)","0%","",""
"Last Modified Date","hs_lastmodifieddate","datetime","The date any property on this product was modified","product_activity","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"URL","hs_url","string","Product url.","product_activity","false","","false","true","false","false","false","true","HubSpot","Properties v3 card (1)","0%","",""
"Product description","description","string","Full description of product","productinformation","false","","false","true","false","false","false","true","HubSpot","Properties v3 card (1)","29.63%","",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is set automatically by HubSpot.","productinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","productinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Product Classififcation","hs_product_classification","enumeration","The classification of product.Categorizes your product as either Standalone, Variant or Bundle","productinformation","false","Standalone (standalone); Variant (variant); Bundle (bundle)","true","true","false","false","false","true","HubSpot","","3.7%","",""
"Product type","hs_product_type","enumeration","The type of product. By default, categorize your product as either Inventory, Non-Inventory or Service.","productinformation","false","Inventory (inventory); Non-Inventory (non_inventory); Service (service)","false","true","false","false","false","true","HubSpot","Sales view (1); Properties v3 card (1)","100%","",""
"SKU","hs_sku","string","Unique product identifier","productinformation","false","","false","true","false","false","false","true","HubSpot","Sales view (2); Properties v3 card (1)","100%","",""
"Status","hs_status","enumeration","Active or inactive status for a product. Determines whether or not the product will appear in search when creating a line item from a product","productinformation","false","Active (active); Inactive (inactive)","false","true","false","false","false","true","HubSpot","","100%","",""
"Tax Category","hs_tax_category","enumeration","The tax category used to determine what amount of tax to automatically apply to line items created from this product","productinformation","false","","false","true","false","true","false","true","HubSpot","Sales view (1); Properties v3 card (1)","0%","",""
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","productinformation","false","","true","true","false","true","false","true","HubSpot","","100%","",""
"Owner assigned date","hubspot_owner_assigneddate","datetime","The most recent timestamp of when an owner was assigned to this record. This value is set automatically by HubSpot.","productinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Owner","hubspot_owner_id","enumeration","The owner of the object.","productinformation","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Name","name","string","Product name","productinformation","false","","false","true","false","false","false","true","HubSpot","Rollup property (1); Sales view (2); Properties v3 card (1)","100%","",""
"Product Category","product_category","enumeration","A custom field is used to group product SKUs (e.g., ""Pray Radio,"" ""Pray TV"", “Pray Studio). It simplifies filtering, reporting, and sales analysis by organizing products into meaningful categories.","productinformation","true","PRAY Radio (Pray Radio); PRAYStudio Base (Pray Studio); PRAY TV (PrayTV); PRAY CAAS (Pray CaaS); SuperFunnel (Super Funnel); PRAYStudio AI Tools; Other","false","false","false","false","false","false","Marco Santiago","Sales view (1); Properties v3 card (1)","62.96%","",""
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","source","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","source","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","source","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","source","false","","true","true","false","true","false","true","HubSpot","","100%","",""
"Term","hs_recurring_billing_period","string","Product recurring billing duration","term","false","","false","true","false","false","false","true","HubSpot","Sales view (1); Properties v3 card (1)","55.56%","",""
"Billing frequency","recurringbillingfrequency","enumeration","How often a product with recurring billing is billed. It informs the pricing calculation for deals and quotes. Products with one-time billing aren’t included.","term","false","Weekly (weekly); Every two weeks (biweekly); Monthly (monthly); Quarterly (quarterly); Semi-annually (per_six_months); Annually (annually); Every two years (per_two_years); Every three years (per_three_years); Every four years (per_four_years); Every five years (per_five_years)","false","true","false","false","false","true","HubSpot","Sales view (1); Properties v3 card (1)","55.56%","",""
