"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Actual Duration","actual_duration","number","","project_information","false","","true","false","true","false","false","false","Nay Luchetti","Report (1); Properties v3 card (1)","37.5%","",""
"Closed Projects Actual Duration","closed_projects_actual_duration","number","","project_information","false","","true","false","true","false","false","false","Nay Luchetti","","35%","",""
"Amount paid","hs_amount_paid","number","What the customer has already paid.","project_information","false","","false","false","false","false","false","true","HubSpot","","0%","",""
"Amount remaining","hs_amount_remaining","number","What the customer will pay in the future.","project_information","false","","false","false","false","false","false","true","HubSpot","Properties v3 card (1)","0%","",""
"Close date","hs_close_date","datetime","Date the record is ""closed"".","project_information","false","","false","true","false","false","false","true","HubSpot","Sales view (3)","35%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","project_information","false","","true","true","false","true","false","true","HubSpot","","15%","",""
"Create date","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","project_information","false","","true","true","false","false","false","true","HubSpot","Rollup property (4)","100%","",""
"Description","hs_description","string","Overview/explanation of the project's purpose and goals","project_information","false","","false","false","false","false","false","true","HubSpot","Automation platform flow (3); Object requirement (1); Properties v3 card (1)","62.5%","",""
"Last Activity Date","hs_last_activity_date","datetime","The last time a note, call, email, meeting, or task was logged for a project. This is updated automatically by HubSpot.","project_information","false","","true","true","false","false","false","true","HubSpot","","97.5%","",""
"Last modified date","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this object. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","project_information","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is set automatically by HubSpot.","project_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
