"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Archived","hs_archived","enumeration","Indicates whether the object has been archived.","marketing_sms_information","false","Yes (true); No (false)","true","true","false","false","false","true","HubSpot","Sales view (3)","100%","",""
"Author Email","hs_author_email","string","The email of the author who created or published the SMS.","marketing_sms_information","false","","false","true","false","false","false","true","HubSpot","","98.63%","",""
"Author Name","hs_author_name","string","The name of the author who created or published the SMS.","marketing_sms_information","false","","false","true","false","false","false","true","HubSpot","","98.63%","",""
"Campaign name","hs_campaign_name","string","The campaign name.","marketing_sms_information","false","","true","true","false","false","false","true","HubSpot","Sales view (2)","39.73%","",""
"Click rate","hs_click_rate","number","The percentage of recipients who clicked a link in the SMS, out of those who received the SMS. Formula: Unique clicks / delivered * 100.","marketing_sms_information","false","","true","true","true","false","false","true","HubSpot","Sales view (3)","24.66%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","marketing_sms_information","false","","true","true","false","true","false","true","HubSpot","","100%","",""
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","marketing_sms_information","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Delivered","hs_delivered","number","The number of SMS messages that got delivered.","marketing_sms_information","false","","true","true","true","false","false","true","HubSpot","Sales view (3)","64.38%","",""
"Delivered rate","hs_delivered_rate","number","The percentage of SMS messages that got delivered.","marketing_sms_information","false","","true","true","true","false","false","true","HubSpot","","64.38%","",""
"Not delivered","hs_failed_delivered","number","The number of SMS messages that couldn’t be delivered, for example if a recipient’s SMS number was not found.","marketing_sms_information","false","","true","true","true","false","false","true","HubSpot","","15.07%","",""
"Not delivered rate","hs_failed_delivered_rate","number","The percentage of SMS messages that couldn’t be delivered, for example if a recipient was not found.","marketing_sms_information","false","","true","true","true","false","false","true","HubSpot","","15.07%","",""
"Not sent","hs_failed_sends","number","The number of SMS messages that couldn’t be sent, for example if a contact is not a marketing contact, or has unsubscribed from all messages.","marketing_sms_information","false","","true","true","true","false","false","true","HubSpot","","64.38%","",""
"Generated by AI","hs_generated_by_ai","enumeration","The content was fully generated by AI and was not edited by a human.","marketing_sms_information","false","Main content (MAIN_CONTENT); Image (IMAGE)","true","true","false","false","false","true","HubSpot","","15.07%","",""
"Co-created with AI","hs_generated_with_ai","enumeration","The content was generated by AI and then edited by a human.","marketing_sms_information","false","Main content (MAIN_CONTENT); Image (IMAGE)","true","true","false","false","false","true","HubSpot","","9.59%","",""
"Object last modified date/time","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this object. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","marketing_sms_information","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is set automatically by HubSpot.","marketing_sms_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"SMS name","hs_name","string","The internal name of the marketing SMS.","marketing_sms_information","false","","false","true","false","false","false","true","HubSpot","Sales view (3)","100%","",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","marketing_sms_information","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","marketing_sms_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","marketing_sms_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","marketing_sms_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","marketing_sms_information","false","","true","true","false","true","false","true","HubSpot","","100%","",""
"Publish/send date","hs_publish_date","datetime","The date/time at which the SMS will get sent out (if scheduled) or has been sent out (if already sent).","marketing_sms_information","false","","true","true","false","false","false","true","HubSpot","Sales view (3)","64.38%","",""
